time,workshop,dist,amphora,exterior_diam,protruding_rim,rim_w,rim_w_2
0,malpica,10,amphora_1,183.710593015,9.80578829203,36.6734527925,39.2946047781
0,malpica,10,amphora_2,153.205264937,14.5571103821,27.2608682842,43.0589899867
0,malpica,10,amphora_3,169.407473896,26.4617218232,31.4758125602,38.6039385481
0,malpica,10,amphora_4,169.816558069,14.1590219256,30.0651537883,40.2114158202
0,malpica,10,amphora_5,153.335230919,16.9681616131,28.0511508877,39.4076277014
0,malpica,10,amphora_6,155.660300169,22.7490512332,28.4612799056,36.6361030657
0,malpica,10,amphora_7,151.502256215,34.5482550516,27.720978025,37.8229890384
0,malpica,10,amphora_8,173.199664226,25.0584847934,28.7568676963,36.0917423157
0,malpica,10,amphora_9,175.433113967,16.79653849,30.3194298965,35.2236344677
0,malpica,10,amphora_10,150.050501283,18.4313390602,37.4856991727,39.6205230089
0,malpica,10,amphora_11,171.538386255,9.40392557,33.5663044915,35.6949388269
0,malpica,10,amphora_12,180.653646537,20.8915330399,20.5772266074,37.7490332381
0,malpica,10,amphora_13,162.002703046,18.5444768979,37.3898893966,34.4919046724
0,malpica,10,amphora_14,181.531005342,24.4503395341,26.8531761341,32.9218583729
0,malpica,10,amphora_15,159.183260107,23.3152494871,34.0913787558,36.0428866233
0,malpica,10,amphora_16,156.553485843,19.3802453153,29.8496346413,40.7015376121
0,malpica,10,amphora_17,185.210193855,22.5841639931,32.5616094361,41.1427497306
0,malpica,10,amphora_18,166.922326026,8.1402680886,30.668628273,39.2960490652
0,malpica,10,amphora_19,161.911876822,23.5895857646,32.5206878766,31.4890839873
0,malpica,10,amphora_20,179.401232347,15.0542856271,32.1760830089,39.5077635083
0,malpica,10,amphora_21,193.366647726,12.0861266075,36.3054071471,37.1981125828
0,malpica,10,amphora_22,155.127798185,25.8786389552,35.6493410855,38.8442255551
0,malpica,10,amphora_23,162.517930382,18.236422889,27.0885443062,41.0732367343
0,malpica,10,amphora_24,177.065219404,18.3413157961,26.5135643868,36.659768657
0,malpica,10,amphora_25,165.492757028,18.9693250332,37.2983441101,36.5282845587
0,malpica,10,amphora_26,155.654580772,22.1969275372,26.1796918646,37.7876480589
0,malpica,10,amphora_27,184.913373813,16.6266099477,31.801239257,33.0712052146
0,malpica,10,amphora_28,179.634760722,18.1151733432,33.7145111774,39.3356243394
0,malpica,10,amphora_29,163.504043531,17.8568317203,32.9850834322,35.4671798165
0,malpica,10,amphora_30,176.949243005,14.9208468958,27.0036718061,35.6208949325
0,malpica,10,amphora_31,158.965136501,24.5944556571,27.6928922389,31.3829082547
0,malpica,10,amphora_32,164.45384235,18.3179634109,35.6693005269,37.1132893348
0,malpica,10,amphora_33,142.543458519,31.096395679,37.7937107631,36.7566216642
0,malpica,10,amphora_34,160.852071356,22.9260176311,29.2118164689,35.9104910974
0,malpica,10,amphora_35,149.591563269,17.059719584,26.0687363727,36.1648316603
0,malpica,10,amphora_36,162.302387459,20.3925989478,27.8485770411,37.8957196108
0,malpica,10,amphora_37,185.575710213,12.0915761601,31.9956643658,37.5401592845
0,malpica,10,amphora_38,178.219952304,17.0583588763,31.9974940645,40.5466543862
0,malpica,10,amphora_39,181.315453463,11.3433424356,34.907311788,37.2832506527
0,malpica,10,amphora_40,162.806246396,11.8586969042,32.1470926873,34.4194996193
0,malpica,10,amphora_41,168.552017262,16.0791058942,30.7630867534,37.4108267864
0,malpica,10,amphora_42,176.409181838,19.8234959044,35.9025995733,38.6931523995
0,malpica,10,amphora_43,159.195824887,16.4047823929,25.9726380459,38.8147981101
0,malpica,10,amphora_44,159.415777693,23.3715382648,27.9083461112,36.1224514581
0,malpica,10,amphora_45,167.097524412,24.9707209163,23.5262465229,36.7820088878
0,malpica,10,amphora_46,176.291546623,17.3284933426,37.2763829931,34.9067927907
0,malpica,10,amphora_47,162.394734983,16.7359421566,41.6073090687,38.7204010662
0,malpica,10,amphora_48,153.51116451,21.6458269699,29.3604400097,37.915984899
0,malpica,10,amphora_49,159.883335978,17.0903418357,39.62044014,36.4705027911
0,malpica,10,amphora_50,182.55465901,11.8021095801,24.8760008777,40.6483061501
0,malpica,10,amphora_51,176.458405045,17.8976424912,35.3243764623,36.1414640851
0,malpica,10,amphora_52,148.594161564,15.8995412494,31.3598615616,40.4732251383
0,malpica,10,amphora_53,168.971550191,23.7287595566,34.3904704573,36.0094198533
0,malpica,10,amphora_54,176.430243805,23.1808455223,34.8551219471,39.5052418535
0,malpica,10,amphora_55,155.487025708,25.2114345731,31.2962883532,42.1785710171
0,malpica,10,amphora_56,184.873568406,16.3073931369,37.2651124549,36.7647081375
0,malpica,10,amphora_57,145.486889947,13.8787826636,33.2228427614,41.5826212214
0,malpica,10,amphora_58,180.147353798,15.2054347267,32.8710736749,32.6504432468
0,malpica,10,amphora_59,178.974855647,15.1570727741,27.2348759764,37.6210773082
0,malpica,10,amphora_60,187.012969881,18.179729916,30.5651656495,42.4018594699
0,malpica,10,amphora_61,174.955383754,11.9010317977,28.3301845663,35.9938624648
0,malpica,10,amphora_62,164.044789585,14.6575640927,33.4414267895,36.1087129172
0,malpica,10,amphora_63,162.218894889,14.3007731995,33.1726748665,39.4330702639
0,malpica,10,amphora_64,185.886578513,18.344277671,26.3819833362,37.7849157499
0,malpica,10,amphora_65,162.553015402,17.0229782895,29.2544525044,36.024064312
0,malpica,10,amphora_66,182.069908926,19.3206611418,31.1219463469,39.2799034906
0,malpica,10,amphora_67,161.841731344,18.0048936616,28.5871411531,38.5041795745
0,malpica,10,amphora_68,173.430369872,16.9434837739,39.5108024687,40.1266015838
0,malpica,10,amphora_69,169.808790843,20.357834125,30.2530189386,38.2406912339
0,malpica,10,amphora_70,172.571214749,16.1097997219,30.8907479136,34.7236354281
0,malpica,10,amphora_71,160.706607441,17.3238308511,37.3354710748,35.0146557328
0,malpica,10,amphora_72,175.115604961,21.9027858434,43.9988117464,40.4895819462
0,malpica,10,amphora_73,161.611489847,16.3206936673,26.7834831851,36.7891712976
0,malpica,10,amphora_74,175.945515097,15.2290182336,27.4516503338,34.6628856713
0,malpica,10,amphora_75,164.638990878,15.2077912102,27.5755220966,37.7152672312
0,malpica,10,amphora_76,171.192830156,19.6019083745,29.4152046064,40.2452326082
0,malpica,10,amphora_77,178.374459988,23.9667898845,29.125544827,38.6531284541
0,malpica,10,amphora_78,152.338061851,20.949467057,32.8330657221,37.2227553796
0,malpica,10,amphora_79,160.901286031,23.878466229,34.1784094134,36.3016261017
0,malpica,10,amphora_80,150.842558856,8.54529235669,32.1112131974,37.335171578
0,malpica,10,amphora_81,168.852116215,18.8696513775,29.545426451,38.7356468933
0,malpica,10,amphora_82,171.019493943,19.3044706512,28.8378174761,35.3777641975
0,malpica,10,amphora_83,183.953533962,22.9412842953,32.0543358542,37.5551636198
0,malpica,10,amphora_84,175.831399117,18.7715561464,34.7383381078,36.8771600204
0,malpica,10,amphora_85,171.474208294,21.1277549231,28.5411557122,37.0097834672
0,malpica,10,amphora_86,150.885839495,25.7188976748,35.8394519211,36.1671623349
0,malpica,10,amphora_87,165.502395837,19.7055342811,28.039259653,33.3460609777
0,malpica,10,amphora_88,178.28980612,25.6514037724,25.5091796322,32.3005150067
0,malpica,10,amphora_89,165.808960502,20.3443637197,29.2401014053,35.6397977121
0,malpica,10,amphora_90,167.880261877,14.7718648093,28.0288918189,36.2752041342
0,malpica,10,amphora_91,152.056260696,23.4471249562,29.3882774043,35.1603126635
0,malpica,10,amphora_92,171.704858924,8.08521774675,32.2950054758,36.565240412
0,malpica,10,amphora_93,166.822496766,21.0490344279,34.3568782694,37.2008972766
0,malpica,10,amphora_94,175.778234711,16.0424537028,30.5764368101,34.1405390775
0,malpica,10,amphora_95,157.283838487,8.49966857401,27.5776062255,39.0978332714
0,malpica,10,amphora_96,139.928645229,20.8950862479,32.226512362,38.4344480584
0,malpica,10,amphora_97,158.450188341,17.6701985851,32.3029897189,37.4833210942
0,malpica,10,amphora_98,171.890283222,15.2212893508,26.3399695478,36.5418163691
0,malpica,10,amphora_99,166.338869602,21.3627994223,27.9682236318,37.9751476236
0,villaseca,10,amphora_1,147.439486608,17.9848372101,32.2031161807,35.0472427073
0,villaseca,10,amphora_2,157.289649275,11.3619208271,27.1568212561,39.8504034469
0,villaseca,10,amphora_3,146.895377318,13.5763470264,30.2577005037,35.2053748137
0,villaseca,10,amphora_4,160.568826753,18.9401764343,32.6136965333,32.1317017005
0,villaseca,10,amphora_5,169.085381284,13.6883516231,38.248058912,37.7081977647
0,villaseca,10,amphora_6,161.67722757,17.0996691963,26.753307542,32.6572294346
0,villaseca,10,amphora_7,163.677137052,22.9829027222,32.8503052341,34.0940857437
0,villaseca,10,amphora_8,163.375395768,15.036491045,33.5340113473,39.6201621344
0,villaseca,10,amphora_9,183.650726375,22.2905624455,29.8360332505,37.1708167543
0,villaseca,10,amphora_10,176.646433176,14.6384100195,30.2213817553,35.630505445
0,villaseca,10,amphora_11,147.91397917,26.5563809036,28.9336004857,37.3538462576
0,villaseca,10,amphora_12,166.583786046,13.9178522081,31.6002980142,39.3944203311
0,villaseca,10,amphora_13,172.807654948,20.1414953101,22.6568013464,39.4391718693
0,villaseca,10,amphora_14,151.74983942,4.23351355028,32.0825534618,41.9791620307
0,villaseca,10,amphora_15,183.611740914,27.5750661456,30.3801497884,38.2810177796
0,villaseca,10,amphora_16,166.380998174,19.0216030315,29.1348279466,37.1251228502
0,villaseca,10,amphora_17,181.173658442,28.806360247,31.3388580632,36.5709870167
0,villaseca,10,amphora_18,173.653450296,17.817450413,28.0767413063,40.0247190905
0,villaseca,10,amphora_19,174.94076546,7.27764687819,32.8424670304,40.8270656065
0,villaseca,10,amphora_20,173.295891555,25.5020733137,27.8481803397,35.18622768
0,villaseca,10,amphora_21,164.569860953,14.3197623838,38.2951873436,31.9115997072
0,villaseca,10,amphora_22,156.945298287,10.0844569022,34.7895802823,39.2889182719
0,villaseca,10,amphora_23,167.851163182,13.0867532616,36.5116490236,34.9798692504
0,villaseca,10,amphora_24,168.435450865,18.1824931129,26.9405822902,39.7688230605
0,villaseca,10,amphora_25,175.248318356,13.8961875184,30.1498953197,35.0469115124
0,villaseca,10,amphora_26,149.362011791,10.6089332311,32.8678982593,35.3830663983
0,villaseca,10,amphora_27,172.293445174,18.4152113126,29.0626817813,35.2533551553
0,villaseca,10,amphora_28,152.860620799,22.5933284367,25.2138692903,35.4867148264
0,villaseca,10,amphora_29,163.360028681,22.9824282368,28.3300859048,37.9978568645
0,villaseca,10,amphora_30,138.826322932,14.8843166933,33.5495040748,40.2734520198
0,villaseca,10,amphora_31,162.097282071,7.67928016935,33.4240667829,43.6221061162
0,villaseca,10,amphora_32,158.533317127,30.9798502135,28.2924616997,36.1125742856
0,villaseca,10,amphora_33,155.509176035,21.2029583306,29.1755981074,33.9374615361
0,villaseca,10,amphora_34,170.260175666,20.7854466675,30.9838382409,37.7359081684
0,villaseca,10,amphora_35,169.188862877,22.3603973919,35.1346713822,36.7807755644
0,villaseca,10,amphora_36,167.006498482,19.0832897806,25.0977659865,38.0830050989
0,villaseca,10,amphora_37,185.315668241,20.2439452103,32.6340519314,35.5673603665
0,villaseca,10,amphora_38,174.158042931,16.4761089652,25.7235933688,39.9144745297
0,villaseca,10,amphora_39,169.963859002,20.9350308467,25.7513689917,34.3264242531
0,villaseca,10,amphora_40,171.035713478,19.4142473064,33.7145481631,36.5292361406
0,villaseca,10,amphora_41,163.101031474,19.583080279,35.5970688841,35.1890152402
0,villaseca,10,amphora_42,167.318974153,14.4164668014,25.8784298019,31.8701665338
0,villaseca,10,amphora_43,159.721920017,21.2065769696,34.2144235922,34.2651133692
0,villaseca,10,amphora_44,156.022555744,18.3716506894,34.7287557153,31.4025632169
0,villaseca,10,amphora_45,150.783920234,22.2370939459,26.1617665984,43.5670826088
0,villaseca,10,amphora_46,163.734318229,22.6903573957,36.3637932979,39.4341763987
0,villaseca,10,amphora_47,156.744460967,16.2230469973,26.8135292704,36.4991539628
0,villaseca,10,amphora_48,195.251747939,14.7420625792,22.2884394089,38.2573839988
0,villaseca,10,amphora_49,180.926902486,22.5324164262,28.4539912934,35.944887296
0,villaseca,10,amphora_50,176.977292915,20.3990003638,34.7201965217,42.6363164021
0,villaseca,10,amphora_51,172.226337956,25.0164774529,28.7235577023,35.1695869015
0,villaseca,10,amphora_52,138.948347258,19.5051957173,31.7936482958,33.0848767272
0,villaseca,10,amphora_53,173.86934691,14.5040351812,29.3423426043,37.4186649722
0,villaseca,10,amphora_54,175.683551598,15.5684957461,25.6333730643,38.8480353474
0,villaseca,10,amphora_55,161.57057397,19.6908900889,33.4580596553,36.6945677128
0,villaseca,10,amphora_56,153.73024223,23.533922539,24.7712240285,38.7193331403
0,villaseca,10,amphora_57,166.980118094,9.02405778168,30.6209920963,42.2202184182
0,villaseca,10,amphora_58,160.557105268,24.401864458,21.3084282058,40.2075043266
0,villaseca,10,amphora_59,152.976077434,26.8417355065,25.8676686291,36.6931045939
0,villaseca,10,amphora_60,163.511527037,8.92983702113,25.4622164223,39.7079375135
0,villaseca,10,amphora_61,165.600410709,24.1739201962,36.0350641917,34.8752847862
0,villaseca,10,amphora_62,170.568051197,15.7272556207,37.0121352053,35.8452154381
0,villaseca,10,amphora_63,167.551171887,6.50720404287,28.2152011543,36.3436515062
0,villaseca,10,amphora_64,163.33962467,21.5546755061,28.7620644737,35.4372232881
0,villaseca,10,amphora_65,159.040296587,13.229415691,37.2087840858,39.3498044281
0,villaseca,10,amphora_66,165.446616532,26.2963168875,29.5290366425,36.4842533715
0,villaseca,10,amphora_67,176.008212189,19.7421520582,26.6218206442,39.0586481908
0,villaseca,10,amphora_68,176.310032145,16.175981486,33.4459673537,38.1071617207
0,villaseca,10,amphora_69,168.786629217,19.6672290302,24.156065586,34.8437059132
0,villaseca,10,amphora_70,169.005062675,20.4342553353,25.9784139692,34.8178788922
0,villaseca,10,amphora_71,153.760174455,23.2614983129,26.9761395584,39.0016802568
0,villaseca,10,amphora_72,165.869867608,18.0148730804,32.5053607461,39.2826751763
0,villaseca,10,amphora_73,165.32009745,11.7388446448,33.3361130896,36.6180127259
0,villaseca,10,amphora_74,168.833936328,7.30152029916,27.7870099718,34.5326160457
0,villaseca,10,amphora_75,174.208534193,28.3143817275,29.5763113607,35.2955328534
0,villaseca,10,amphora_76,154.545486304,25.9852645686,31.7793185645,38.5149151806
0,villaseca,10,amphora_77,153.827636465,10.9577469171,28.4476864155,33.7164599945
0,villaseca,10,amphora_78,173.805108894,19.9680384147,37.6800769605,35.1914085225
0,villaseca,10,amphora_79,167.20371462,30.2604218937,31.0240170979,33.4185353253
0,villaseca,10,amphora_80,164.016348182,19.4494681218,32.697099085,38.8449157908
0,villaseca,10,amphora_81,157.562542939,19.0832451482,27.0075468569,39.5114849357
0,villaseca,10,amphora_82,161.784598153,11.0511798509,25.3695634309,31.0666211299
0,villaseca,10,amphora_83,138.97901758,19.0666329246,27.57827519,40.1280903023
0,villaseca,10,amphora_84,164.481877064,14.4911224825,33.0284876855,36.3422559702
0,villaseca,10,amphora_85,171.087829392,18.9086718497,29.1927182512,35.5137189168
0,villaseca,10,amphora_86,160.874129364,26.6681421424,25.4338647083,33.7810299294
0,villaseca,10,amphora_87,169.778750904,18.5106121737,41.441608407,35.9571443133
0,villaseca,10,amphora_88,143.6129304,21.3425599406,32.0281336491,37.4942903263
0,villaseca,10,amphora_89,180.064427906,28.3776849386,26.7621660663,37.1920921
0,villaseca,10,amphora_90,165.622924471,16.1034365424,30.9906709987,34.6201906601
0,villaseca,10,amphora_91,178.822355245,13.5659062078,28.1728772599,37.2476005253
0,villaseca,10,amphora_92,159.380650094,24.2291198818,28.0793632361,38.0394748512
0,villaseca,10,amphora_93,172.533155195,26.7637705031,26.5373341031,34.2031417893
0,villaseca,10,amphora_94,158.448778812,17.4668652057,34.8025055363,34.4941904417
0,villaseca,10,amphora_95,162.289582247,21.1212845988,30.585189249,34.119398366
0,villaseca,10,amphora_96,144.999085118,17.763237077,29.1279326755,37.6001013266
0,villaseca,10,amphora_97,185.700167451,21.6144115061,32.5750566971,36.5528805124
0,villaseca,10,amphora_98,163.273911059,16.6781771913,31.001978953,36.4136685498
0,villaseca,10,amphora_99,185.633563667,13.1092880916,30.5436998547,37.9900369761
0,delicias,10,amphora_1,160.227153036,27.0521755899,23.0093622025,34.0111450001
0,delicias,10,amphora_2,156.774780389,9.84387883817,31.2965475784,37.0456351149
0,delicias,10,amphora_3,167.375403966,14.4751990443,33.7573799615,37.1592324524
0,delicias,10,amphora_4,177.517700275,25.0924407286,35.3905542149,33.9168155337
0,delicias,10,amphora_5,163.489984211,17.8610911282,29.4599663671,32.8239490335
0,delicias,10,amphora_6,171.966790916,23.0235884203,28.7086323098,34.7375931892
0,delicias,10,amphora_7,154.136248002,20.7412226411,29.994240154,36.8800734877
0,delicias,10,amphora_8,172.409490054,14.3158590185,35.109425363,37.6600022907
0,delicias,10,amphora_9,158.473724097,20.646269956,33.2424802591,39.7551260541
0,delicias,10,amphora_10,165.913961168,14.0927622622,20.0457908309,36.6363768397
0,delicias,10,amphora_11,177.766056496,19.3728905337,30.7670056258,38.595972854
0,delicias,10,amphora_12,159.037654692,14.2974729267,34.1136057423,34.2143505555
0,delicias,10,amphora_13,175.606740479,9.45538987959,31.4604609257,35.898523174
0,delicias,10,amphora_14,164.215305312,23.7731436851,21.2586508392,36.0708795791
0,delicias,10,amphora_15,155.797460001,30.4857946539,31.5293538088,38.4220157217
0,delicias,10,amphora_16,150.39691105,22.7098986814,33.2128245566,42.8186097397
0,delicias,10,amphora_17,167.814990641,22.9512309041,40.0017289207,40.7351516469
0,delicias,10,amphora_18,166.024368339,20.2059487867,29.5771424595,41.0011095191
0,delicias,10,amphora_19,168.021772021,18.2767762736,26.3010101739,37.5542249197
0,delicias,10,amphora_20,153.714251643,20.6832378188,35.0032116858,37.2705139045
0,delicias,10,amphora_21,163.054889621,13.2656730554,38.2079977343,40.4883255494
0,delicias,10,amphora_22,152.828040772,34.1265243808,31.4066303864,39.2217357571
0,delicias,10,amphora_23,168.846935793,17.9935398346,28.8648061825,38.9807422478
0,delicias,10,amphora_24,162.928316203,17.4174233853,30.253611826,39.3963411342
0,delicias,10,amphora_25,177.310088334,18.4087055339,28.7207656309,39.4578764135
