time,workshop,dist,amphora,exterior_diam,protruding_rim,rim_w,rim_w_2
0,malpica,10,amphora_1,173.057856586,27.7382939251,30.695937715,35.9476052923
0,malpica,10,amphora_2,176.994148544,12.4328354426,31.4409674671,37.6145053302
0,malpica,10,amphora_3,177.423619475,21.3385286053,33.7430961203,35.9284147347
0,malpica,10,amphora_4,157.711376528,23.6753686918,25.0055582262,38.8774553446
0,malpica,10,amphora_5,176.118998025,16.7875688877,33.286663813,37.8820969984
0,malpica,10,amphora_6,176.523659334,21.8674450057,30.8912535811,35.3185321576
0,malpica,10,amphora_7,160.776135748,13.5409732172,32.9053291416,37.2012318007
0,malpica,10,amphora_8,162.703767364,22.666362929,30.5982123208,37.8859998705
0,malpica,10,amphora_9,161.276384476,15.1766538641,27.2641168644,35.1884729934
0,malpica,10,amphora_10,161.584923862,23.2314140972,33.8391667807,35.2028063491
0,malpica,10,amphora_11,178.22825124,16.2005759112,29.0108352755,37.1650269854
0,malpica,10,amphora_12,157.812099348,25.2561838931,31.3369817562,41.2704390633
0,malpica,10,amphora_13,181.61929999,20.2378250962,35.0928779175,37.1091865603
0,malpica,10,amphora_14,150.050505829,16.0580493704,39.0820758073,37.7294897657
0,malpica,10,amphora_15,134.73063008,17.9861084214,34.1549005987,36.8153255997
0,malpica,10,amphora_16,151.521639589,12.7025211102,24.319776887,33.7486566763
0,malpica,10,amphora_17,164.656954896,17.3521907803,28.9634386467,36.9919847203
0,malpica,10,amphora_18,174.626490528,18.8632642907,30.486230283,39.5221734766
0,malpica,10,amphora_19,160.799540635,21.5432601521,41.8404597564,36.11728317
0,malpica,10,amphora_20,175.779996008,6.77047577702,34.2196173243,35.4688405977
0,malpica,10,amphora_21,163.181456816,17.0217921934,29.3778105846,40.4149900711
0,malpica,10,amphora_22,180.87050075,22.9443511815,30.5540981004,34.6099664493
0,malpica,10,amphora_23,180.919494445,20.8122419269,35.067646481,34.6437950129
0,malpica,10,amphora_24,164.875401651,18.1205239719,28.4126687238,34.6988629339
0,malpica,10,amphora_25,172.249607023,10.0552354834,33.9279301095,34.7097579797
0,malpica,10,amphora_26,176.00773264,22.2673583127,30.9440707607,37.3506921917
0,malpica,10,amphora_27,173.921247301,5.50378346724,23.3323380437,28.8389894026
0,malpica,10,amphora_28,166.451511656,14.3704186006,23.8933314428,39.4878053079
0,malpica,10,amphora_29,163.529402799,16.8342101404,35.4285685147,35.668289023
0,malpica,10,amphora_30,148.5877002,20.4138537664,37.6344885388,40.2853640767
0,malpica,10,amphora_31,167.040368565,22.4303053871,24.3593942904,37.8345709118
0,malpica,10,amphora_32,175.957999469,25.2884495555,29.6082023675,42.9360203175
0,malpica,10,amphora_33,146.340159499,23.8484414932,35.6925423052,36.1078495914
0,malpica,10,amphora_34,153.866379756,30.5127195591,28.9359397478,36.4473255413
0,malpica,10,amphora_35,153.822337466,18.3305575307,31.5417441825,34.6441524545
0,malpica,10,amphora_36,176.518728032,16.4943611255,33.1738050509,31.5524145229
0,malpica,10,amphora_37,158.739648659,24.3750625837,33.4563972267,38.1809044299
0,malpica,10,amphora_38,169.492433942,16.643927893,30.4237007644,37.3522439689
0,malpica,10,amphora_39,145.443787606,19.3512691061,30.6473449991,37.0377395776
0,malpica,10,amphora_40,154.531692013,22.4438180121,30.9685328075,39.9702323358
0,malpica,10,amphora_41,160.847957305,24.1054994756,31.7589615783,38.3002099118
0,malpica,10,amphora_42,163.343212029,26.2168464567,36.2924717662,37.0909491873
0,malpica,10,amphora_43,179.024230862,13.6146101924,30.8402077727,38.6605432909
0,malpica,10,amphora_44,160.503151329,17.7453274337,30.9637261429,37.950834022
0,malpica,10,amphora_45,141.920734241,14.1553236066,25.8769364647,37.1028322886
0,malpica,10,amphora_46,166.348132121,17.5874129327,36.8505542001,34.4765920264
0,malpica,10,amphora_47,175.981312667,22.0958674515,34.5298106758,40.3587563345
0,malpica,10,amphora_48,163.373181831,24.3359014854,27.6868428023,37.5386756468
0,malpica,10,amphora_49,149.933907172,12.7127078665,25.1737137623,39.1001312282
0,malpica,10,amphora_50,164.906315044,15.6697256726,33.7972861846,35.9380225423
0,malpica,10,amphora_51,170.794917822,24.3766862951,36.0025057062,35.0328204143
0,malpica,10,amphora_52,159.541671475,16.9856815105,31.6340238208,37.8340799259
0,malpica,10,amphora_53,149.88520548,13.9514073251,28.5180380441,39.1681929711
0,malpica,10,amphora_54,160.544445781,9.84500271315,29.2036216141,37.8333196822
0,malpica,10,amphora_55,185.593106229,14.6473926953,33.4774902623,36.3690045285
0,malpica,10,amphora_56,171.703548414,12.9192940783,32.2902955444,37.3744530963
0,malpica,10,amphora_57,162.637008033,25.1929998566,34.0845082497,36.5309960942
0,malpica,10,amphora_58,156.14959396,13.8389851513,32.4372258049,41.7998472505
0,malpica,10,amphora_59,155.973207988,11.5897487279,28.8835977192,35.8016354662
0,malpica,10,amphora_60,176.134152944,18.7008856266,32.2204744943,37.5385796617
0,malpica,10,amphora_61,163.414402418,23.2080714945,27.3514817873,39.994460724
0,malpica,10,amphora_62,164.951152306,15.2416420693,33.2272244788,36.5261031803
0,malpica,10,amphora_63,171.135744716,8.17264303595,34.6997786373,37.9313330048
0,malpica,10,amphora_64,164.018756277,12.8467067276,25.3025284232,37.8881544703
0,malpica,10,amphora_65,166.744551263,18.9418326993,37.2083829272,38.9300186113
0,malpica,10,amphora_66,173.28528101,18.0299282849,26.9999726841,41.3653180017
