"","id","lat","long","type","site","code","locationtype","country"
"79",14073,50.73438,7.095485,"Dressel 20","Bonn","ACIRGIF","Military Camp","Germany"
"80",14088,50.73438,7.095485,"Dressel 20","Bonn","ACIRGI","Military Camp","Germany"
"81",14099,50.73438,7.095485,"Dressel 20","Bonn","AGRICOLAE","Military Camp","Germany"
"82",14220,50.73438,7.095485,"Dressel 20","Bonn","IICAMILIMELISSI","Military Camp","Germany"
"83",14233,50.73438,7.095485,"Dressel 20","Bonn","CCRASSISAI","Military Camp","Germany"
"84",14248,50.73438,7.095485,"Dressel 20","Bonn","CEFP","Military Camp","Germany"
"85",14303,50.73438,7.095485,"Dressel 20","Bonn","LFCCVFCM","Military Camp","Germany"
"86",14349,50.73438,7.095485,"Dressel 20","Bonn","DFF","Military Camp","Germany"
"87",14449,50.73438,7.095485,"Dressel 20","Bonn","CIALB","Military Camp","Germany"
"88",14565,50.73438,7.095485,"Dressel 20","Bonn","LIVNIMELISSI","Military Camp","Germany"
"89",14584,50.73438,7.095485,"Dressel 20","Bonn","IIIVNMELISSIETMELISSE","Military Camp","Germany"
"90",14585,50.73438,7.095485,"Dressel 20","Bonn","IIIVNMELISSIETMELISSE","Military Camp","Germany"
"91",14622,50.73438,7.095485,"Dressel 20","Bonn","GMMF","Military Camp","Germany"
"92",14651,50.73438,7.095485,"Dressel 20","Bonn","PMSC","Military Camp","Germany"
"93",14690,50.73438,7.095485,"Dressel 20","Bonn","PNN","Military Camp","Germany"
"94",14693,50.73438,7.095485,"Dressel 20","Bonn","PNN","Military Camp","Germany"
"95",14707,50.73438,7.095485,"Dressel 20","Bonn","SEXN","Military Camp","Germany"
"96",14803,50.73438,7.095485,"Dressel 20","Bonn","LQS","Military Camp","Germany"
"97",14848,50.73438,7.095485,"Dressel 20","Bonn","PORPS","Military Camp","Germany"
"98",14891,50.73438,7.095485,"Dressel 20","Bonn","LSERALB","Military Camp","Germany"
