"","exterior_diam","inside_diam","rim_h","rim_w","shape_w","rim_inside_h","rim_w_2","protruding_rim"
"belen",171.181818181818,95.3295454545455,35.0681818181818,38.3295454545455,9.59090909090909,27.4886363636364,31.8863636363636,19.5909090909091
"delicias",172.084033613445,92.781512605042,34.1344537815126,38.5210084033613,8.74789915966386,26.9579831932773,32.7226890756302,14.2521008403361
"malpica",166.054054054054,94.7567567567568,36.027027027027,37.036036036036,9.40540540540541,28.9279279279279,29.8018018018018,21.7567567567568
"parlamento",164.351851851852,93.1481481481482,34.8148148148148,34.6296296296296,10.0185185185185,28.2407407407407,30.7962962962963,15.8333333333333
"villaseca",160.207547169811,92.7169811320755,36.3962264150943,35.5471698113208,10.4905660377358,29.7547169811321,30.7924528301887,20.377358490566
