time,workshop,dist,amphora,exterior_diam,protruding_rim,rim_w,rim_w_2
0,malpica,10,amphora_1,171.709710638,22.0930572159,32.7326227222,32.2343202864
0,malpica,10,amphora_2,164.672028724,15.8927847916,39.4018460379,41.35449656
0,malpica,10,amphora_3,156.404237498,11.8876706418,34.0231929688,41.0343287444
0,malpica,10,amphora_4,165.92204344,21.0284607595,33.3306975142,34.7369522431
0,malpica,10,amphora_5,177.132490544,23.168760857,33.9778350791,36.6226015213
0,malpica,10,amphora_6,178.728757052,16.660496547,30.2420125528,37.9238761161
0,malpica,10,amphora_7,182.74611534,17.6611207268,35.8238501459,36.7209244694
0,malpica,10,amphora_8,180.760098641,12.7806532325,43.591052437,38.3503479793
0,malpica,10,amphora_9,170.23573014,22.679051634,33.6612041943,34.5542130739
0,malpica,10,amphora_10,180.642140036,34.386511898,33.6109014305,35.9517683178
0,malpica,10,amphora_11,167.785394591,24.6281250181,30.27756541,41.6008807625
0,malpica,10,amphora_12,163.120656682,16.6519609252,33.0396068566,36.9087441977
0,malpica,10,amphora_13,161.246733019,18.6903570054,34.1936164171,35.7486039269
0,malpica,10,amphora_14,138.114946193,16.2500319282,29.4744259105,33.8120692078
0,malpica,10,amphora_15,164.735294084,10.2361398349,29.9964067972,36.3056359379
0,malpica,10,amphora_16,176.382964476,24.2166709903,27.1186708583,36.5498495637
0,malpica,10,amphora_17,163.079150563,12.3573200999,25.623193067,39.4190797681
0,malpica,10,amphora_18,156.072352113,21.026558341,33.2452828886,36.9734365157
0,malpica,10,amphora_19,157.997368417,20.982058689,23.1260771776,35.5414011499
0,malpica,10,amphora_20,153.515888975,23.4754655548,26.6806228005,37.3962865284
0,malpica,10,amphora_21,165.899268251,22.4936878135,37.5603379575,40.0627805494
0,malpica,10,amphora_22,178.118654109,15.3310642298,29.6417079389,37.1128804592
0,malpica,10,amphora_23,173.784973761,35.8017602669,30.1788552256,37.3476369524
0,malpica,10,amphora_24,167.589766629,18.8588046656,25.5779201793,32.9249587409
0,malpica,10,amphora_25,176.193261611,15.2671327909,30.1366596976,41.0138611815
0,malpica,10,amphora_26,170.891383947,14.9006919276,28.6789828259,38.3553040398
0,malpica,10,amphora_27,167.996193019,24.6424321364,26.6484896526,40.0887000554
0,malpica,10,amphora_28,160.084850279,23.8283442805,32.6222842789,38.1455069945
0,malpica,10,amphora_29,169.507717771,19.4885987647,34.0227066316,31.5228485812
0,malpica,10,amphora_30,171.241783561,19.4770341943,32.7237960762,38.2873666979
0,malpica,10,amphora_31,170.940737503,20.511559298,32.3943696304,38.1029133042
0,malpica,10,amphora_32,160.375545882,19.8070957244,30.7506216988,35.5946758772
0,malpica,10,amphora_33,159.241288561,12.6230574805,27.9338949062,36.3323585441
0,malpica,10,amphora_34,164.712881884,19.7238765378,32.9180871207,42.0693134666
0,malpica,10,amphora_35,177.398331766,19.3808432901,31.3153839417,33.2726976846
0,malpica,10,amphora_36,157.664229466,20.3692769176,24.4176087627,37.6020260174
0,malpica,10,amphora_37,172.035362741,19.3213899522,31.0074100667,34.9979833201
0,malpica,10,amphora_38,171.21122342,25.4981458724,33.1511831575,36.2463963478
0,malpica,10,amphora_39,160.579534067,23.3343965113,27.5991808127,40.7638735147
0,malpica,10,amphora_40,206.888297103,12.1318329623,32.0621249075,36.7984419698
0,malpica,10,amphora_41,161.535818479,17.0263051019,25.8385059134,37.9001182913
0,malpica,10,amphora_42,176.346236693,13.0038539865,33.229785064,37.9521470998
0,malpica,10,amphora_43,159.36144824,15.3827605195,33.7353398702,34.6315605556
0,malpica,10,amphora_44,177.582108322,20.1023335705,29.0340178787,33.2833349193
0,malpica,10,amphora_45,167.991487615,27.5736871413,36.3036030665,35.3571921549
0,malpica,10,amphora_46,168.406630631,14.1477919273,25.2456036376,37.6789134414
0,malpica,10,amphora_47,167.77796943,16.3998441207,27.1942938997,36.6351330013
0,malpica,10,amphora_48,162.572578554,16.2303988134,30.1918374482,39.6608113959
0,malpica,10,amphora_49,177.157844188,16.41300836,21.5441818877,33.8028381804
0,malpica,10,amphora_50,168.182530198,19.183646711,28.7983290864,35.4705820676
0,malpica,10,amphora_51,184.21466772,18.3081714721,32.2396281537,34.2805376991
0,malpica,10,amphora_52,158.636075255,25.2041459816,33.0779731153,37.1150736139
0,malpica,10,amphora_53,167.203813407,21.4176118682,25.8955061278,40.0396414185
0,malpica,10,amphora_54,152.600490626,15.6780526063,40.217080884,35.8075763161
0,malpica,10,amphora_55,177.423484436,17.8697552638,35.4781474738,33.6258711582
0,malpica,10,amphora_56,180.548484334,5.96843307597,23.6363642748,37.4776229321
0,malpica,10,amphora_57,150.432081497,22.6148857204,32.5349078721,39.8792331876
0,malpica,10,amphora_58,165.150700232,17.3816399963,28.0136685166,33.8567378771
0,malpica,10,amphora_59,157.672484072,22.9036753614,39.4743743839,35.5565768869
0,malpica,10,amphora_60,169.424921286,16.0572302841,28.3477070372,35.7527997957
0,malpica,10,amphora_61,177.039012469,19.5182252475,25.2599731687,36.514751732
0,malpica,10,amphora_62,162.417910359,22.5125368447,34.3436263164,35.2474002211
0,malpica,10,amphora_63,160.544787352,6.9731907074,30.0381018074,35.2139483229
0,malpica,10,amphora_64,164.109467874,25.5965116865,30.7004111194,34.7350853155
0,malpica,10,amphora_65,151.740553288,8.67368749877,24.2551299548,39.9605773159
0,malpica,10,amphora_66,185.885179561,19.242762165,33.6109538375,37.2054802208
0,malpica,10,amphora_67,176.495037227,11.9901865026,28.5125877316,35.2015498791
0,malpica,10,amphora_68,145.011205631,25.6690489147,33.0663741741,36.8119924729
0,malpica,10,amphora_69,187.890136119,21.524546192,35.6785296255,35.4655358996
0,malpica,10,amphora_70,179.100775756,2.84642167857,30.1252216546,38.964730981
0,malpica,10,amphora_71,171.563143152,24.3715380827,30.7795255469,34.9441481777
0,malpica,10,amphora_72,160.626164401,18.285988151,25.9274742814,37.1378950588
0,malpica,10,amphora_73,169.652081832,22.6255188218,41.7854015179,36.1133745361
0,malpica,10,amphora_74,157.1060665,9.25098893389,28.0994731216,38.8665703291
0,malpica,10,amphora_75,176.93348067,15.3405492651,34.9725293987,35.0425976399
0,malpica,10,amphora_76,163.175088355,18.3405610233,32.4927139325,38.193698388
0,malpica,10,amphora_77,146.498570234,11.7863526923,33.5116394871,39.7490718276
0,malpica,10,amphora_78,162.688034036,20.9963851559,32.2135515173,36.2523305216
0,malpica,10,amphora_79,171.030226374,22.0483148516,39.4053634741,36.7263691991
0,malpica,10,amphora_80,158.427537487,17.6236553714,33.013265873,39.1447421644
0,malpica,10,amphora_81,165.382372713,14.4503784269,34.7003314904,37.4235902017
0,malpica,10,amphora_82,175.505496954,14.2644212007,30.6940787265,37.9403593887
0,malpica,10,amphora_83,165.346549646,21.2005499592,37.7757539464,33.9188030407
0,malpica,10,amphora_84,162.689657492,16.7002472637,31.6777743346,38.1068552675
0,malpica,10,amphora_85,174.647321838,22.9794728278,28.9728002316,39.9576230543
0,malpica,10,amphora_86,181.004757522,16.8719305225,29.9489590508,31.8793704208
0,malpica,10,amphora_87,168.607705978,18.2160265385,23.4078133779,38.0328057579
0,malpica,10,amphora_88,168.339600224,15.011509701,30.5488677253,33.2552709861
0,malpica,10,amphora_89,175.969950319,19.059518424,40.3646427581,36.4996415756
0,malpica,10,amphora_90,168.858967328,17.3574552257,32.7412446433,36.676560777
0,malpica,10,amphora_91,174.145351491,15.788249323,26.9970399691,35.5147257519
0,malpica,10,amphora_92,154.195310222,25.0550675717,30.977359479,35.945228429
0,malpica,10,amphora_93,162.717581578,19.3083058404,41.2656884073,34.4970452116
0,malpica,10,amphora_94,179.222991835,21.9584931187,36.8847614795,38.2689979879
0,malpica,10,amphora_95,162.248373735,19.4994164612,42.6835273493,39.2322678657
0,malpica,10,amphora_96,169.581743599,18.3483016165,36.7401926696,35.9214332869
0,malpica,10,amphora_97,176.086735136,15.2845236835,29.7851969715,37.7306595036
0,malpica,10,amphora_98,173.685276764,18.3179802803,27.3835472292,39.5109189062
0,malpica,10,amphora_99,170.338268577,19.7939560244,33.406832882,35.7730057606
0,villaseca,10,amphora_1,164.095711332,25.89706803,32.2977058904,38.656079975
0,villaseca,10,amphora_2,175.076747386,16.8580771862,35.150211603,32.9764754106
0,villaseca,10,amphora_3,183.209601554,9.04571813919,23.8015151005,37.2626042856
0,villaseca,10,amphora_4,177.345514831,16.5963769212,33.3908616457,38.4810816994
0,villaseca,10,amphora_5,170.017712121,17.3581126183,35.5776967295,35.7743413237
0,villaseca,10,amphora_6,168.228181844,17.7544235008,32.8085516901,38.2695391023
0,villaseca,10,amphora_7,168.836867854,11.9370040543,27.0459900234,38.288929222
0,villaseca,10,amphora_8,165.152731972,25.3595467035,34.1134220894,30.0094359571
0,villaseca,10,amphora_9,155.056940243,26.1572535725,31.3288985113,36.9136174086
