time,workshop,dist,amphora,exterior_diam,protruding_rim,rim_w,rim_w_2
0,malpica,10,amphora_1,164.640977409,22.4669566676,32.6599611408,38.0668535222
0,malpica,10,amphora_2,179.031087649,21.6315369873,27.8699595832,33.7353259727
0,malpica,10,amphora_3,162.518962158,16.7755514231,21.1976317177,37.1551374619
0,malpica,10,amphora_4,182.238716038,18.9741755189,27.9252154681,38.2591454847
0,malpica,10,amphora_5,181.648384913,6.76623119774,30.2010542393,38.5696026734
0,malpica,10,amphora_6,172.187690789,14.5135160635,25.7060684448,36.1075606376
0,malpica,10,amphora_7,166.668162931,29.5873569472,27.9806246338,40.8845129133
0,malpica,10,amphora_8,171.166287078,15.1183636205,28.7555618832,35.5027294081
0,malpica,10,amphora_9,167.4046859,18.4081464217,30.7356997059,34.4356619258
0,malpica,10,amphora_10,150.275075276,24.2682789431,33.0834213911,37.343415876
0,malpica,10,amphora_11,169.891529868,19.9790067058,25.1198197015,38.6520443097
0,malpica,10,amphora_12,172.1801181,17.0433728484,32.9128056833,33.1234078092
0,malpica,10,amphora_13,186.931515652,25.2432348003,30.21141763,37.2819605178
0,malpica,10,amphora_14,160.409401454,22.3333848567,24.4172588653,35.2860193555
0,malpica,10,amphora_15,194.043634028,27.6407322796,34.8658543632,39.6687865399
0,malpica,10,amphora_16,176.805791826,20.3255230221,37.2914597625,39.6637463158
0,malpica,10,amphora_17,154.957098419,21.7705259096,36.4506156637,36.0960396219
0,malpica,10,amphora_18,174.964484959,17.0485952508,25.650303367,39.3108757585
0,malpica,10,amphora_19,184.304576166,18.4391211339,26.3893951444,36.8152650334
0,malpica,10,amphora_20,178.999198047,20.5598950634,42.9611617288,35.7937065809
0,malpica,10,amphora_21,154.09383709,18.9754498161,29.6508936243,37.0646838895
0,malpica,10,amphora_22,152.226386406,15.016142193,35.6180692566,37.4809292158
0,malpica,10,amphora_23,170.295299709,18.3805828186,29.391735091,36.5881174892
0,malpica,10,amphora_24,155.11249573,22.9646052666,30.6920272114,40.4077145719
0,malpica,10,amphora_25,171.180258659,12.8217609371,30.876759286,39.8441606995
0,malpica,10,amphora_26,173.115407279,22.2072212453,36.0126705316,39.0530754646
0,malpica,10,amphora_27,183.145859706,14.0244240532,31.2020375592,37.1815509728
0,malpica,10,amphora_28,160.766989389,32.3386921022,29.1689230916,38.497793271
0,malpica,10,amphora_29,181.27427884,22.4194300942,23.8926993511,34.5009566199
0,malpica,10,amphora_30,184.529447702,21.9123435695,32.7984754091,38.3376050946
0,malpica,10,amphora_31,174.873063268,14.6071305662,35.0911914128,33.9306175032
0,malpica,10,amphora_32,197.070901089,26.4082241095,27.0602990292,34.6658645188
0,malpica,10,amphora_33,171.676877017,21.5806338551,27.6259534148,37.5393669869
0,malpica,10,amphora_34,157.063634889,17.4076582265,30.3365074365,40.1878974423
0,malpica,10,amphora_35,159.586592602,19.3748819803,30.1441942562,40.565561528
0,malpica,10,amphora_36,172.708074301,14.1172320068,34.950118893,37.8908111682
0,malpica,10,amphora_37,179.978066004,17.0977480102,31.829113876,34.5317322063
0,malpica,10,amphora_38,163.898198666,17.7361004735,35.6521984035,36.4645627221
0,malpica,10,amphora_39,164.167777479,16.9002135155,32.671056645,40.3124208168
0,malpica,10,amphora_40,178.774344514,8.94979246747,27.8383940106,36.8491981871
0,malpica,10,amphora_41,181.030275355,19.5615658406,32.8691979128,38.4236669173
0,malpica,10,amphora_42,155.25521447,21.03430859,25.8489157132,40.7682839218
