time,workshop,dist,amphora,exterior_diam,protruding_rim,rim_w,rim_w_2
0,malpica,10,amphora_1,184.838594954,24.0691441818,27.1903615759,36.0986283373
0,malpica,10,amphora_2,172.467276503,7.07723141162,30.1099656526,41.2119058672
0,malpica,10,amphora_3,175.898280955,23.6163188554,33.2753083028,38.4930087451
0,malpica,10,amphora_4,158.050660038,14.2760172011,29.0742627613,33.5011178061
0,malpica,10,amphora_5,168.163176543,19.9536689701,31.2523992709,35.8604229994
0,malpica,10,amphora_6,185.125863105,21.9346133735,26.6817821708,32.1785425121
0,malpica,10,amphora_7,164.750602665,12.6614071855,30.8048359173,39.2997278356
0,malpica,10,amphora_8,162.638555334,15.250940291,26.3800327019,37.7635412492
0,malpica,10,amphora_9,157.463225919,15.3494728009,35.6760692722,32.8438113527
0,malpica,10,amphora_10,159.361330053,15.9676258699,36.3488037307,40.7662711443
0,malpica,10,amphora_11,143.766315717,19.516212635,31.4754927714,33.8868237696
0,malpica,10,amphora_12,154.411775462,15.1202614818,38.2544256494,37.1229883445
0,malpica,10,amphora_13,160.677097809,28.6334373555,35.3757782303,38.6301880388
0,malpica,10,amphora_14,166.856740553,13.8378282512,33.4627311363,37.9342301206
0,malpica,10,amphora_15,178.993992612,9.21043164547,33.8344387735,39.7257729357
0,malpica,10,amphora_16,147.993952108,20.9845982551,32.9778643364,38.0573648615
0,malpica,10,amphora_17,167.764030146,9.91492924322,31.9740108608,38.2228902779
0,malpica,10,amphora_18,174.975134405,11.1698954077,30.5772751199,34.8572909909
0,malpica,10,amphora_19,164.048882351,12.5508577671,29.0476956588,37.296965927
0,malpica,10,amphora_20,181.797252346,15.1190721695,29.9188662363,38.3104891172
0,malpica,10,amphora_21,166.826212409,24.0539563926,31.2602917798,36.0697333373
0,malpica,10,amphora_22,181.454895688,20.9800060719,24.9186421111,36.5995798364
0,malpica,10,amphora_23,167.885058718,19.5263007013,33.7905654317,37.1118924517
0,malpica,10,amphora_24,159.728082071,11.3792310169,40.277699066,34.0129739046
0,malpica,10,amphora_25,151.384351642,20.5952371979,29.2448122346,38.9773159824
0,malpica,10,amphora_26,150.982525644,14.1703962391,25.0413015391,35.3015010601
0,malpica,10,amphora_27,178.052566735,16.282655176,34.3549565092,40.9328103111
0,malpica,10,amphora_28,166.586769036,14.9326448751,28.2436774946,31.481648648
0,malpica,10,amphora_29,180.57376035,7.60984360786,34.9497333436,40.8972993173
0,malpica,10,amphora_30,180.545146132,18.2877344128,36.7157352423,36.9747054176
0,malpica,10,amphora_31,159.025061712,17.0007482786,34.3687824867,40.4588511034
0,malpica,10,amphora_32,161.958711386,16.4837642629,28.9024839508,39.1083989443
0,malpica,10,amphora_33,169.570334225,23.6720455436,27.965716337,40.10554557
0,malpica,10,amphora_34,160.598057888,19.5211278448,24.5586445651,39.0466096342
0,malpica,10,amphora_35,159.331894378,18.519303479,35.1534607179,36.9076733932
0,malpica,10,amphora_36,168.330122992,16.6251080418,24.2993550186,40.3578209594
0,malpica,10,amphora_37,168.388056573,26.0434773169,34.504637212,36.1689171602
0,malpica,10,amphora_38,171.963950275,20.1822674628,26.9382552242,37.4393207879
0,malpica,10,amphora_39,155.871693529,24.7872031327,31.5095050041,37.3944750864
0,malpica,10,amphora_40,163.581196779,15.9868776646,29.1018486281,39.8979887155
0,malpica,10,amphora_41,170.123893678,22.087626983,32.8279647466,33.6154360579
0,malpica,10,amphora_42,168.613302865,29.4193134661,28.1663458575,41.6971516459
0,malpica,10,amphora_43,166.242601656,11.4179997353,32.9195995099,35.9532783776
0,malpica,10,amphora_44,158.890130609,17.65501069,35.5739374977,35.9139568556
0,malpica,10,amphora_45,158.238323196,18.2415835012,34.8114000831,37.8004790417
0,malpica,10,amphora_46,159.473337559,19.5332828673,33.2147970671,34.3634841293
0,malpica,10,amphora_47,165.044351515,12.3327028546,31.4597791986,37.9726336075
0,malpica,10,amphora_48,150.799788609,28.8954744658,29.9192628973,38.5257348813
0,malpica,10,amphora_49,140.398489904,9.18244595459,30.4436536843,39.3273136511
0,malpica,10,amphora_50,180.277018265,16.8854044157,36.6414308004,37.4969058625
0,malpica,10,amphora_51,181.986249774,9.7221007514,21.9599832949,37.9286845025
0,malpica,10,amphora_52,162.772413962,25.6973782245,33.3445961513,36.3849200789
0,malpica,10,amphora_53,182.853958608,17.3738453063,35.5612650747,35.7524121913
0,malpica,10,amphora_54,164.680835002,13.6984927251,29.0320266325,38.2543188359
0,malpica,10,amphora_55,170.600317239,15.4316391773,33.996906888,35.808823906
0,malpica,10,amphora_56,171.256441315,13.831818891,36.8736115306,41.2966745452
0,malpica,10,amphora_57,170.273209795,16.7191482736,28.2602113541,37.5048737035
0,malpica,10,amphora_58,159.422035858,19.1153059709,31.5703710118,36.4768746006
0,malpica,10,amphora_59,164.525962053,12.0417776074,36.4922222225,39.0035039683
0,malpica,10,amphora_60,170.737243895,8.5321231196,36.9912623489,36.1117251688
0,malpica,10,amphora_61,174.452987247,22.7720755092,34.9119330165,39.6436170904
0,malpica,10,amphora_62,170.818416197,19.8811623419,32.7702747404,36.8741895015
0,malpica,10,amphora_63,156.975077926,18.4211808686,26.9478457542,36.1882829542
0,malpica,10,amphora_64,162.346230455,21.9784781577,35.8984551268,34.8100112273
0,malpica,10,amphora_65,182.993639055,16.7728077075,25.5613397415,44.4805823191
0,malpica,10,amphora_66,167.258181115,17.5901669671,33.1981526015,38.1036412363
0,malpica,10,amphora_67,174.037604674,11.6694645714,33.2189837216,31.5540137031
0,malpica,10,amphora_68,164.528814251,12.9380004034,32.0255745986,33.9178640511
0,malpica,10,amphora_69,162.410839406,17.2945496381,27.3344114464,40.4142725011
0,malpica,10,amphora_70,159.691004746,19.7029862755,29.3123745792,40.0850193493
0,malpica,10,amphora_71,157.689581641,17.1439644885,32.993596514,35.2007927237
0,malpica,10,amphora_72,176.952911862,15.8917415795,33.7514340834,30.5553439466
0,malpica,10,amphora_73,177.273217314,23.4327829779,31.7658772347,34.3138545485
0,malpica,10,amphora_74,179.390450512,15.8339406637,34.0499849586,37.7765751409
0,malpica,10,amphora_75,167.83284354,14.4881415761,35.7096168285,37.3779575584
0,malpica,10,amphora_76,168.432168639,26.2900070498,35.7002216255,38.8380010707
0,malpica,10,amphora_77,171.864552738,16.1539819516,35.1876741443,34.7059820135
0,malpica,10,amphora_78,162.295967904,20.9666536949,34.4052627592,37.7351699781
0,malpica,10,amphora_79,169.736721055,26.2949987043,33.3352997165,33.9335370699
0,malpica,10,amphora_80,159.799050145,15.2618026403,27.8456180547,39.8798768157
0,malpica,10,amphora_81,177.895992078,12.7085726434,28.6464582676,41.2434850594
0,malpica,10,amphora_82,169.53865809,27.4395509986,29.7701939847,40.3859126472
0,malpica,10,amphora_83,166.354706373,23.8392220892,30.6508522623,38.0261417107
0,malpica,10,amphora_84,179.331460116,19.7587316757,28.7657130029,38.9915768036
0,malpica,10,amphora_85,183.043306826,12.6157923434,38.3607795245,37.3296408676
0,malpica,10,amphora_86,165.868782297,20.2007196216,28.5627172878,39.4132411517
0,malpica,10,amphora_87,175.328091813,18.5407100451,23.6946072741,36.394890888
0,malpica,10,amphora_88,164.102933601,16.791135571,27.708827579,35.5679558298
0,malpica,10,amphora_89,162.104439985,18.2462758575,33.3614941244,36.0583503763
0,malpica,10,amphora_90,143.958657832,13.5218420778,27.0720779075,31.1324071992
0,malpica,10,amphora_91,158.454785225,21.8596233635,30.8073319938,31.3518114217
0,malpica,10,amphora_92,163.285510316,24.4543232109,33.2989029901,35.7744553304
0,malpica,10,amphora_93,181.051858529,21.3382663802,35.8607239231,40.1869903685
0,malpica,10,amphora_94,149.289298492,15.54210278,35.0414825329,36.7463499709
0,malpica,10,amphora_95,172.406092,13.6492331993,36.0658150157,38.2527170905
0,malpica,10,amphora_96,142.556064681,11.9119470622,30.3788317358,35.3371981378
0,malpica,10,amphora_97,169.149520914,17.2224638212,33.1468727005,35.3916903988
0,malpica,10,amphora_98,180.02751839,11.7887764556,27.9676515339,35.5276338524
0,malpica,10,amphora_99,148.637447731,7.67620404794,31.8259902868,38.1122353675
0,villaseca,10,amphora_1,167.429494949,18.8967016457,29.4690998751,36.3155571563
0,villaseca,10,amphora_2,161.497145536,19.1412330613,30.3845755844,36.288025126
0,villaseca,10,amphora_3,176.468906018,22.1217377834,27.1232954769,38.2354029488
0,villaseca,10,amphora_4,169.596815281,13.4861508523,30.7681198097,38.9248076472
0,villaseca,10,amphora_5,182.321132404,11.5262331623,30.0539891154,36.6908397082
0,villaseca,10,amphora_6,157.914153739,13.3751401048,39.3955743115,35.074693632
0,villaseca,10,amphora_7,153.846137602,19.4230255243,32.7624228011,35.2708856924
0,villaseca,10,amphora_8,183.631819167,20.2153701553,34.9962486641,32.0750728851
0,villaseca,10,amphora_9,165.243922626,10.5803466891,32.5952706044,35.2553222257
0,villaseca,10,amphora_10,166.873849482,22.9583572212,29.7984782948,35.6582217985
0,villaseca,10,amphora_11,177.909874785,11.4869158007,26.063133195,36.980613592
0,villaseca,10,amphora_12,152.998918687,26.6958941765,31.1628538477,35.8611499172
0,villaseca,10,amphora_13,161.504020611,19.967285812,32.406740267,34.8108069733
0,villaseca,10,amphora_14,161.051187915,12.9442805283,34.8945722403,34.5485163275
0,villaseca,10,amphora_15,160.559015015,18.663163482,33.6074358867,32.7751419441
0,villaseca,10,amphora_16,165.758521109,24.3546014346,27.5155360611,34.6277390633
0,villaseca,10,amphora_17,164.229645529,20.3502720844,33.9469294465,37.6228207427
0,villaseca,10,amphora_18,175.771479797,14.0872379026,31.118177746,40.0731688467
0,villaseca,10,amphora_19,151.445336938,23.7948048226,33.1072858893,39.5453116036
0,villaseca,10,amphora_20,169.961341941,19.5157391236,37.1032430165,38.6763900149
0,villaseca,10,amphora_21,170.079234833,22.6858357597,30.5917326683,37.3799588734
0,villaseca,10,amphora_22,160.506405881,21.5805641455,27.548050676,38.0155754415
0,villaseca,10,amphora_23,171.750476836,24.8247551301,29.3617611068,40.4956448103
0,villaseca,10,amphora_24,157.105566049,21.304297581,22.4183537765,40.5884948706
0,villaseca,10,amphora_25,171.527986972,9.81816478527,32.2253407479,41.7519068035
0,villaseca,10,amphora_26,159.686593153,12.8691081776,34.2820547759,35.5206798975
0,villaseca,10,amphora_27,161.732276352,23.095279291,30.5574813007,37.2301178522
0,villaseca,10,amphora_28,164.443513813,18.4958606335,35.4001372085,33.7614939462
